Designator,Mid X,Mid Y,Rotation,Layer
C1,39.5,-66.3,270.0,top
C10,47.0,-48.65,270.0,top
C11,48.1,-98.1,90.0,top
C12,62.0,-51.0,180.0,top
C13,54.0,-58.2,180.0,top
C14,54.0,-67.0,90.0,top
C15,42.4,-88.6,270.0,top
C16,44.4,-88.6,270.0,top
C17,46.4,-88.6,270.0,top
C2,45.0,-68.65,180.0,top
C3,35.5,-44.6,270.0,top
C4,45.2,-60.5,180.0,top
C5,37.8,-77.5,90.0,top
C6,37.8,-81.3,270.0,top
C7,37.8,-88.9,270.0,top
C8,55.1,-87.0,180.0,top
C9,41.2,-46.9,90.0,top
D1,58.0,-45.0,180.0,top
FB1,32.0,-43.5,0.0,top
FB2,47.0,-45.1,270.0,top
GOTE1,35.2,-105.4,0.0,top
J1,18.4,-47.6,90.0,top
J2,24.6,-74.12,270.0,top
J3,30.39,-81.135,270.0,top
J4,63.848,-76.6,270.0,top
JR1,64.825,-90.6,270.0,top
JR2,65.025,-60.8,270.0,top
JU1,64.825,-103.62,270.0,top
R1,39.5,-62.3,90.0,top
R10,37.8,-92.7,270.0,top
R11,49.7,-74.8,180.0,top
R12,46.9,-73.9,270.0,top
R13,52.7,-73.9,270.0,top
R14,54.9,-73.9,270.0,top
R15,49.3,-91.7,0.0,top
R16,49.3,-87.7,0.0,top
R17,49.3,-89.7,0.0,top
R18,42.4,-92.0,270.0,top
R19,44.4,-92.0,270.0,top
R2,29.6,-46.2,180.0,top
R20,46.4,-92.0,270.0,top
R21,53.7,-89.0,0.0,top
R22,53.59,-45.0,0.0,top
R3,29.6,-48.2,180.0,top
R4,45.0,-70.7,180.0,top
R5,33.9,-56.0,180.0,top
R6,37.8,-73.7,90.0,top
R7,37.8,-85.1,270.0,top
U1,45.0,-64.9,270.0,top
U2,33.9,-53.0,180.0,top
U3,37.9,-53.0,180.0,top
U4,44.3,-98.15,0.0,top
U5,49.0,-81.1,90.0,top
X1,55.88,-93.98,90.0,top
